prompt_id,report_id,overall_score,accuracy,formality,faithfulness,clarity,succinctness,relevance
A,1,4.17,5,5,4,4,3,4
A,2,4.33,5,5,5,4,3,4
A,3,4.00,4,5,4,3,3,4
A,4,4.17,5,4,4,4,3,4
A,5,4.33,5,5,5,4,3,4
A,6,4.00,4,5,4,3,3,4
A,7,4.17,5,5,4,4,2,4
A,8,4.33,5,5,5,4,3,4
A,9,4.00,4,5,4,3,3,4
A,10,4.17,5,4,4,4,3,4
A,11,4.33,5,5,5,4,3,4
A,12,4.00,4,5,4,3,3,4
A,13,4.17,5,5,4,4,3,4
A,14,4.33,5,5,5,4,3,4
A,15,4.00,4,5,4,3,3,4
A,16,4.17,5,4,4,4,3,4
A,17,4.33,5,5,5,4,3,4
A,18,4.00,4,5,4,3,3,4
A,19,4.17,5,5,4,4,2,4
A,20,4.33,5,5,5,4,3,4
A,21,4.00,4,5,4,3,3,4
A,22,4.17,5,4,4,4,3,4
A,23,4.33,5,5,5,4,3,4
A,24,4.00,4,5,4,3,3,4
A,25,4.17,5,5,4,4,3,4
A,26,4.33,5,5,5,4,3,4
A,27,4.00,4,5,4,3,3,4
A,28,4.17,5,4,4,4,3,4
A,29,4.33,5,5,5,4,3,4
A,30,4.00,4,5,4,3,3,4
B,1,3.67,4,3,4,4,5,3
B,2,3.83,4,3,4,4,5,4
B,3,3.50,3,3,4,3,5,3
B,4,3.67,4,2,4,4,5,3
B,5,3.83,4,3,4,4,5,4
B,6,3.50,3,3,4,3,5,3
B,7,3.67,4,3,4,4,5,3
B,8,3.83,4,3,4,4,5,4
B,9,3.50,3,3,4,3,5,3
B,10,3.67,4,2,4,4,5,3
B,11,3.83,4,3,4,4,5,4
B,12,3.50,3,3,4,3,5,3
B,13,3.67,4,3,4,4,5,3
B,14,3.83,4,3,4,4,5,4
B,15,3.50,3,3,4,3,5,3
B,16,3.67,4,2,4,4,5,3
B,17,3.83,4,3,4,4,5,4
B,18,3.50,3,3,4,3,5,3
B,19,3.67,4,3,4,4,5,3
B,20,3.83,4,3,4,4,5,4
B,21,3.50,3,3,4,3,5,3
B,22,3.67,4,2,4,4,5,3
B,23,3.83,4,3,4,4,5,4
B,24,3.50,3,3,4,3,5,3
B,25,3.67,4,3,4,4,5,3
B,26,3.83,4,3,4,4,5,4
B,27,3.50,3,3,4,3,5,3
B,28,3.67,4,2,4,4,5,3
B,29,3.83,4,3,4,4,5,4
B,30,3.50,3,3,4,3,5,3
C,1,3.50,4,2,4,5,3,3
C,2,3.67,4,2,4,5,3,4
C,3,3.33,3,2,4,4,3,3
C,4,3.50,4,1,4,5,3,3
C,5,3.67,4,2,4,5,3,4
C,6,3.33,3,2,4,4,3,3
C,7,3.50,4,2,4,5,3,3
C,8,3.67,4,2,4,5,3,4
C,9,3.33,3,2,4,4,3,3
C,10,3.50,4,1,4,5,3,3
C,11,3.67,4,2,4,5,3,4
C,12,3.33,3,2,4,4,3,3
C,13,3.50,4,2,4,5,3,3
C,14,3.67,4,2,4,5,3,4
C,15,3.33,3,2,4,4,3,3
C,16,3.50,4,1,4,5,3,3
C,17,3.67,4,2,4,5,3,4
C,18,3.33,3,2,4,4,3,3
C,19,3.50,4,2,4,5,3,3
C,20,3.67,4,2,4,5,3,4
C,21,3.33,3,2,4,4,3,3
C,22,3.50,4,1,4,5,3,3
C,23,3.67,4,2,4,5,3,4
C,24,3.33,3,2,4,4,3,3
C,25,3.50,4,2,4,5,3,3
C,26,3.67,4,2,4,5,3,4
C,27,3.33,3,2,4,4,3,3
C,28,3.50,4,1,4,5,3,3
C,29,3.67,4,2,4,5,3,4
C,30,3.33,3,2,4,4,3,3
